questions,answers
How long is it between when a person is exposed to the virus and when they start showing symptoms?,"Recently published research found that on average, the time from exposure to symptom onset (known as the incubation period) is about five to six days. However, studies have shown that symptoms could appear as soon as three days after exposure to as long as 13 days later. These findings continue to support the CDC recommendation of self-quarantine and monitoring of symptoms for 14 days post exposure."
How does coronavirus spread?,"The coronavirus is thought to spread mainly from person to person. This can happen between people who are in close contact with one another. Droplets that are produced when an infected person coughs or sneezes may land in the mouths or noses of people who are nearby, or possibly be inhaled into their lungs.

A person infected with coronavirus — even one with no symptoms — may emit aerosols when they talk or breathe. Aerosols are infectious viral particles that can float or drift around in the air for up to three hours. Another person can breathe in these aerosols and become infected with the coronavirus. This is why everyone should cover their nose and mouth when they go out in public.

Coronavirus can also spread from contact with infected surfaces or objects. For example, a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes."
How could contact tracing help slow the spread of COVID-19?,"Anyone who comes into close contact with someone who has COVID-19 is at increased risk of becoming infected themselves, and of potentially infecting others. Contact tracing can help prevent further transmission of the virus by quickly identifying and informing people who may be infected and contagious, so they can take steps to not infect others.

Contact tracing begins with identifying everyone that a person recently diagnosed with COVID-19 has been in contact with since they became contagious. In the case of COVID-19, a person may be contagious 48 to 72 hours before they started to experience symptoms.

The contacts are notified about their exposure. They may be told what symptoms to look out for, advised to isolate themselves for a period of time, and to seek medical attention as needed if they start to experience symptoms."
How deadly is COVID-19?,"The answer depends on whether you're looking at the fatality rate (the risk of death among those who are infected) or the total number of deaths. So far, influenza has caused far more total deaths this flu season, both in the US and worldwide, than COVID-19. This is why you may have heard it said that the flu is a bigger threat.

Regarding the fatality rate, it appears that the risk of death with the pandemic coronavirus infection (commonly estimated at about 1%) is far less than it was for SARS (approximately 11%) and MERS (about 35%), but will likely be higher than the risk from seasonal flu (which averages about 0.1%). We will have a more accurate estimate of fatality rate for this coronavirus infection once testing becomes more available.

What we do know so far is the risk of death very much depends on your age and your overall health. Children appear to be at very low risk of severe disease and death. Older adults and those who smoke or have chronic diseases such as diabetes, heart disease, or lung disease have a higher chance of developing complications like pneumonia, which could be deadly."
Will warm weather slow or stop the spread of COVID-19?,"Some viruses, like the common cold and flu, spread more when the weather is colder. But it is still possible to become sick with these viruses during warmer months.

At this time, we do not know for certain whether the spread of COVID-19 will decrease when the weather warms up. But a new report suggests that warmer weather may not have much of an impact.

The report, published in early April by the National Academies of Sciences, Engineering and Medicine, summarized research that looked at how well the COVID-19 coronavirus survives in varying temperatures and humidity levels, and whether the spread of this coronavirus may slow in warmer and more humid weather.

The report found that in laboratory settings, higher temperatures and higher levels of humidity decreased survival of the COVID-19 coronavirus. However, studies looking at viral spread in varying climate conditions in the natural environment had inconsistent results.

The researchers concluded that conditions of increased heat and humidity alone may not significantly slow the spread of the COVID-19 virus."
How long can the coronavirus stay airborne? I have read different estimates.,"A study done by National Institute of Allergy and Infectious Diseases' Laboratory of Virology in the Division of Intramural Research in Hamilton, Montana helps to answer this question. The researchers used a nebulizer to blow coronaviruses into the air. They found that infectious viruses could remain in the air for up to three hours. The results of the study were published in the New England Journal of Medicine on March 17, 2020."
How long can the coronavirus that causes COVID-19 survive on surfaces?,"A recent study found that the COVID-19 coronavirus can survive up to four hours on copper, up to 24 hours on cardboard, and up to two to three days on plastic and stainless steel. The researchers also found that this virus can hang out as droplets in the air for up to three hours before they fall. But most often they will fall more quickly.

There's a lot we still don't know, such as how different conditions, such as exposure to sunlight, heat, or cold, can affect these survival times.

As we learn more, continue to follow the CDC's recommendations for cleaning frequently touched surfaces and objects every day. These include counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables.

If surfaces are dirty, first clean them using a detergent and water, then disinfect them. A list of products suitable for use against COVID-19 is available here. This list has been pre-approved by the U.S. Environmental Protection Agency (EPA) for use during the COVID-19 outbreak.

In addition, wash your hands for 20 seconds with soap and water after bringing in packages, or after trips to the grocery store or other places where you may have come into contact with infected surfaces."
Should I accept packages from China?,"There is no reason to suspect that packages from China harbor coronavirus. Remember, this is a respiratory virus similar to the flu. We don't stop receiving packages from China during their flu season. We should follow that same logic for the virus that causes COVID-19."
Can I catch the coronavirus by eating food handled or prepared by others?,"We are still learning about transmission of the new coronavirus. It's not clear if it can be spread by an infected person through food they have handled or prepared, but if so it would more likely be the exception than the rule.

That said, the new coronavirus is a respiratory virus known to spread by upper respiratory secretions, including airborne droplets after coughing or sneezing. The virus that causes COVID-19 has also been detected in the stool of certain people. So we currently cannot rule out the possibility of the infection being transmitted through food by an infected person who has not thoroughly washed their hands. In the case of hot food, the virus would likely be killed by cooking. This may not be the case with uncooked foods like salads or sandwiches."
"The flu kills more people than COVID-19, at least so far. Why are we so worried about COVID-19? Shouldn't we be more focused on preventing deaths from the flu?","You're right to be concerned about the flu. Fortunately, the same measures that help prevent the spread of the COVID-19 virus — frequent and thorough handwashing, not touching your face, coughing and sneezing into a tissue or your elbow, avoiding people who are sick, and staying away from people if you're sick — also help to protect against spread of the flu.

If you do get sick with the flu, your doctor can prescribe an antiviral drug that can reduce the severity of your illness and shorten its duration. There are currently no antiviral drugs available to treat COVID-19."
Should I get a flu shot?,"While the flu shot won't protect you from developing COVID-19, it's still a good idea. Most people older than six months can and should get the flu vaccine. Doing so reduces the chances of getting seasonal flu. Even if the vaccine doesn't prevent you from getting the flu, it can decrease the chance of severe symptoms. But again, the flu vaccine will not protect you against this coronavirus."
What can I do to protect myself and others from COVID-19?,"The following actions help prevent the spread of COVID-19, as well as other coronaviruses and influenza:

Avoid close contact with people who are sick.
Avoid touching your eyes, nose, and mouth.
Stay home when you are sick.
Cover your cough or sneeze with a tissue, then throw the tissue in the trash.
Clean and disinfect frequently touched objects and surfaces every day. High touch surfaces include counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables. A list of products suitable for use against COVID-19 is available here. This list has been pre-approved by the US Environmental Protection Agency (EPA) for use during the COVID-19 outbreak.
Wash your hands often with soap and water."
What do I need to know about washing my hands effectively?,"Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom; before eating; after blowing your nose, coughing, or sneezing; and after handling anything that's come from outside your home.

If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol, covering all surfaces of your hands and rubbing them together until they feel dry.
Always wash hands with soap and water if hands are visibly dirty.
The CDC's handwashing website has detailed instructions and a video about effective handwashing procedures."
How does coronavirus spread?,"The coronavirus is thought to spread mainly from person to person. This can happen between people who are in close contact with one another. Droplets that are produced when an infected person coughs or sneezes may land in the mouths or noses of people who are nearby, or possibly be inhaled into their lungs.

A person infected with coronavirus — even one with no symptoms — may emit aerosols when they talk or breathe. Aerosols are infectious viral particles that can float or drift around in the air for up to three hours. Another person can breathe in these aerosols and become infected with the coronavirus. This is why everyone should cover their nose and mouth when they go out in public.

Coronavirus can also spread from contact with infected surfaces or objects. For example, a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes."
How could contact tracing help slow the spread of COVID-19?,"Anyone who comes into close contact with someone who has COVID-19 is at increased risk of becoming infected themselves, and of potentially infecting others. Contact tracing can help prevent further transmission of the virus by quickly identifying and informing people who may be infected and contagious, so they can take steps to not infect others.

Contact tracing begins with identifying everyone that a person recently diagnosed with COVID-19 has been in contact with since they became contagious. In the case of COVID-19, a person may be contagious 48 to 72 hours before they started to experience symptoms.

The contacts are notified about their exposure. They may be told what symptoms to look out for, advised to isolate themselves for a period of time, and to seek medical attention as needed if they start to experience symptoms."
What is social distancing and why is it important?,"The COVID-19 virus primarily spreads when one person breathes in droplets that are produced when an infected person coughs or sneezes. In addition, any infected person, with or without symptoms, could spread the virus by touching a surface. The coronavirus could remain on that surface and someone else could touch it and then touch their mouth, nose or eyes. That's why it's so important to try to avoid touching public surfaces or at least try to wipe them with a disinfectant.

Social distancing refers to actions taken to stop or slow down the spread of a contagious disease. For an individual, it refers to maintaining enough distance (6 feet or more) between yourself and another person to avoid getting infected or infecting someone else. School closures, directives to work from home, library closings, and cancelling meetings and larger events help enforce social distancing at a community level.

Slowing down the rate and number of new coronavirus infections is critical to reduce the risk that large numbers of critically ill patients cannot receive life-saving care. Highly realistic projections show that unless we begin extreme social distancing now — every day matters — our hospitals and other healthcare facilities will not be able to handle the likely influx of patients."
What types of medications and health supplies should I have on hand for an extended stay at home?,"Try to stock at least a 30-day supply of any needed prescriptions. If your insurance permits 90-day refills, that's even better. Make sure you also have over-the-counter medications and other health supplies on hand.

Medical and health supplies

prescription medications
prescribed medical supplies such as glucose and blood-pressure monitoring equipment
fever and pain medicine, such as acetaminophen
cough and cold medicines
antidiarrheal medication
thermometer
fluids with electrolytes
soap and alcohol-based hand sanitizer
tissues, toilet paper, disposable diapers, tampons, sanitary napkins
garbage bags."
Should I keep extra food at home? What kind?,"Consider keeping a two-week to 30-day supply of nonperishable food at home. These items can also come in handy in other types of emergencies, such as power outages or snowstorms.

canned meats, fruits, vegetables, and soups
frozen fruits, vegetables, and meat
protein or fruit bars
dry cereal, oatmeal, or granola
peanut butter or nuts
pasta, bread, rice, and other grains
canned beans
chicken broth, canned tomatoes, jarred pasta sauce
oil for cooking
flour, sugar
crackers
coffee, tea, shelf-stable milk, canned juices
bottled water
canned or jarred baby food and formula
pet food
household supplies like laundry detergent, dish soap, and household cleaner."
What precautions can I take when grocery shopping?,"The coronavirus that causes COVID-19 is primarily transmitted through droplets containing virus, or through viral particles that float in the air. The virus may be breathed in directly and can also spread when a person touches a surface or object that has the virus on it and then touches their mouth, nose, or eyes. There is no current evidence that the COVID-19 virus is transmitted through food.

Safety precautions help you avoid breathing in coronavirus or touching a contaminated surface and touching your face.

In the grocery store, maintain at least six feet of distance between yourself and other shoppers. Wipe frequently touched surfaces like grocery carts or basket handles with disinfectant wipes. Avoid touching your face. Wearing a cloth mask helps remind you not to touch your face and can further help reduce spread of the virus. Use hand sanitizer before leaving the store. Wash your hands as soon as you get home.

If you are older than 65 or at increased risk for any reason, limit trips to the grocery store. Ask a neighbor or friend to pick up groceries and leave them outside your house. See if your grocery store offers special hours for older adults or those with underlying conditions. Or have groceries delivered to your home."
What precautions can I take when unpacking my groceries?,"Recent studies have shown that the COVID-19 virus may remain on surfaces or objects for up to 72 hours. This means virus on the surface of groceries will become inactivated over time after groceries are put away. If you need to use the products before 72 hours, consider washing the outside surfaces or wiping them with disinfectant. The contents of sealed containers won't be contaminated.

After unpacking your groceries, wash your hands with soap and water for at least 20 seconds. Wipe surfaces on which you placed groceries while unpacking them with household disinfectants.

Thoroughly rinse fruits and vegetables with water before consuming. And wash your hands before consuming any foods that you've recently brought home from the grocery store."
"What should and shouldn't I do during this time to avoid exposure to and spread of this coronavirus? For example, what steps should I take if I need to go shopping for food and staples? What about eating at restaurants, ordering takeout, going to the gym or swimming in a public pool?","The answer to all of the above is that it is critical that everyone begin intensive social distancing immediately. As much as possible, limit contact with people outside your family.

If you need to get food, staples, medications or healthcare, try to stay at least six feet away from others, and wash your hands thoroughly after the trip, avoiding contact with your face and mouth throughout. Prepare your own food as much as possible. If you do order takeout, open the bag, box or containers, then wash your hands. Lift, fork or spoon out the contents into your own dishes. After you dispose of these outside containers, wash your hands again. Most restaurants, gyms and public pools are closed; but even if one is open, now is not the time to go.

Here are some other things to avoid: playdates, parties, sleepovers, having friends or family over for meals or visits, and going to coffee shops — essentially any nonessential activity that involves close contact with others."
What can I do when social distancing?,"Try to look at this period of social distancing as an opportunity to get to things you've been meaning to do.

Though you shouldn't go to the gym right now, that doesn't mean you can't exercise. Take long walks or run outside (do your best to maintain at least six feet between you and non-family members when you're outside). Do some yoga or other indoor exercise routines when the weather isn't cooperating.

Kids need exercise too, so try to get them outside every day for walks or a backyard family soccer game (remember, this isn't the time to invite the neighborhood kids over to play). Avoid public playground structures, which aren't cleaned regularly and can spread the virus.

Pull out board games that are gathering dust on your shelves. Have family movie nights. Catch up on books you've been meaning to read, or do a family read-aloud every evening.

It's important to stay connected even though we should not do so in person. Keep in touch virtually through phone calls, Skype, video, and other social media. Enjoy a leisurely chat with an old friend you've been meaning to call.

If all else fails, go to bed early and get some extra sleep!"
Should I wear a face mask?,"The CDC now recommends that everyone in the US wear nonsurgical masks when going out in public.

Coronavirus primarily spreads when someone breathes in droplets containing virus that are produced when an infected person coughs or sneezes or when a person touches a contaminated surface and then touches their eyes, nose, or mouth. But people who are infected but do not have symptoms, or have not yet developed symptoms, can also infect others. That's where masks come in.

A person infected with coronavirus — even one with no symptoms — may emit aerosols when they talk or breathe. Aerosols are infectious viral particles that can float or drift around in the air. Another person can breathe in these aerosols and become infected with the virus. A mask can help prevent that spread. An article published in NEJM in March reported that aerosolized coronavirus could remain in the air for up to three hours.

What kind of mask should you wear? Because of the short supply, people without symptoms or without exposure to someone known to be infected with the coronavirus can wear a cloth face covering over their nose and mouth. They do help prevent others from becoming infected if you happen to be carrying the virus unknowingly.

While N95 masks are the most effective, these medical-grade masks are in short supply and should be reserved for healthcare workers.

Some parts of the US also have inadequate supplies of surgical masks. If you have a surgical mask, you may need to reuse it at this time. But never share your mask.

Surgical masks are preferred if you are caring for someone who has COVID-19 or you have any respiratory symptoms (even mild symptoms) and must go out in public.

Masks are more effective when they are tight-fitting and cover your entire nose and mouth. They can help discourage you from touching your face (be sure you're not touching your face more often to adjust the mask). Masks are meant to be used in addition to, not instead of, physical distancing."
Is it safe to travel by airplane?,"Stay current on travel advisories from regulatory agencies. This is a rapidly changing situation.

Anyone who has a fever and respiratory symptoms should not fly if at all possible. Even if a person has symptoms that feel like just a cold, he or she should wear a mask on an airplane."
Is there a vaccine available?,"No vaccine is available, although scientists will be starting human testing on a vaccine very soon. However, it may be a year or more before we even know if we have a vaccine that works."
Can a person who has had coronavirus get infected again?,"While we don't know the answer yet, most people would likely develop at least short-term immunity to the specific coronavirus that causes COVID-19. However, that immunity could diminish over time and you would still be susceptible to a different coronavirus infection. Or, this particular virus could mutate, just like the influenza virus does each year. Often these mutations change the virus enough to make you susceptible, because your immune system thinks it is an infection that it has never seen before."
Will a pneumococcal vaccine help protect me against coronavirus?,"Vaccines against pneumonia, such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine, only help protect people from these specific bacterial infections. They do not protect against any coronavirus pneumonia, including pneumonia that may be part of COVID-19. However, even though these vaccines do not specifically protect against the coronavirus that causes COVID-19, they are highly recommended to protect against other respiratory illnesses."
My husband and I are in our 70s. I'm otherwise healthy. My husband is doing well but does have heart disease and diabetes. My grandkids' school has been closed for the next several weeks. We'd like to help out by watching our grandkids but don't know if that would be safe for us. Can you offer some guidance?,"People who are older and older people with chronic medical conditions, especially cardiovascular disease, high blood pressure, diabetes, and lung disease are more likely to have severe disease or death from COVID-19, and should engage in strict social distancing without delay. This is also the case for people or who are immunocompromised because of a condition or treatment that weakens their immune response.

The decision to provide on-site help with your children and grandchildren is a difficult one. If there is an alternative to support their needs without being there, that would be safest."
Can my pet infect me with the virus that causes COVID-19?,"At present, there is no evidence that pets such as dogs or cats can spread the COVID-19 virus to humans. However, pets can spread other infections that cause illness, including E. coli and Salmonella, so wash your hands thoroughly with soap and water after interacting with pets."
What can I do to keep my immune system strong?,"Your immune system is your body's defense system. When a harmful invader — like a cold or flu virus, or the coronavirus that causes COVID-19 — gets into your body, your immune system mounts an attack. Known as an immune response, this attack is a sequence of events that involves various cells and unfolds over time.

Following general health guidelines is the best step you can take toward keeping your immune system strong and healthy. Every part of your body, including your immune system, functions better when protected from environmental assaults and bolstered by healthy-living strategies such as these:

Don't smoke or vape.
Eat a diet high in fruits, vegetables, and whole grains.
Take a multivitamin if you suspect that you may not be getting all the nutrients you need through your diet.
Exercise regularly.
Maintain a healthy weight.
Control your stress level.
Control your blood pressure.
If you drink alcohol, drink only in moderation (no more than one to two drinks a day for men, no more than one a day for women).
Get enough sleep.
Take steps to avoid infection, such as washing your hands frequently and trying not to touch your hands to your face, since harmful germs can enter through your eyes, nose, and mouth."
Should I go to the doctor or dentist for nonurgent appointments?,"During this period of social distancing, it is best to postpone nonurgent appointments with your doctor or dentist. These may include regular well visits or dental cleanings, as well as follow-up appointments to manage chronic conditions if your health has been relatively stable in the recent past. You should also postpone routine screening tests, such as a mammogram or PSA blood test, if you are at average risk of disease. Many doctor's offices have started restricting office visits to urgent matters only, so you may not have a choice in the matter.

As an alternative, doctor's offices are increasingly providing telehealth services. This may mean appointments by phone call, or virtual visits using a video chat service. Ask to schedule a telehealth appointment with your doctor for a new or ongoing nonurgent matter. If, after speaking to you, your doctor would like to see you in person, he or she will let you know.

What if your appointments are not urgent but also don't fall into the low-risk category? For example, if you have been advised to have periodic scans after cancer remission, if your doctor sees you regularly to monitor for a condition for which you're at increased risk, or if your treatment varies based on your most recent test results? In these and similar cases, call your doctor for advice."
Should I postpone my elective surgery?,"It's likely that your elective surgery or procedure will be canceled or rescheduled by the hospital or medical center in which you are scheduled to have the procedure. If not, then during this period of social distancing, you should consider postponing any procedure that can wait.

That being said, keep in mind that ""elective"" is a relative term. For instance, you may not have needed immediate surgery for sciatica caused by a herniated disc. But the pain may be so severe that you would not be able to endure postponing the surgery for weeks or perhaps months. In that case, you and your doctor should make a shared decision about proceeding."
Who is at highest risk for getting very sick from COVID-19?,"Older people, especially those with underlying medical problems like chronic bronchitis, emphysema, heart failure, or diabetes, are more likely to develop serious illness.

In addition, several underlying medical conditions may increase the risk of serious COVID-19 for individuals of any age. These include:

blood disorders, such as sickle cell disease, or taking blood thinners
chronic kidney disease
chronic liver disease, including cirrhosis and chronic hepatitis
any condition or treatment that weakens the immune response (cancer, cancer treatment, organ or bone marrow transplant, immunosuppressant medications, HIV or AIDS)
current or recent pregnancy in the last two weeks
diabetes
inherited metabolic disorders and mitochondrial disorders
heart disease, including coronary artery disease, congenital heart disease, and heart failure
lung disease, including asthma, COPD (chronic bronchitis or emphysema)
neurological and neurologic and neurodevelopment conditions such as cerebral palsy, epilepsy (seizure disorders), stroke, intellectual disability, moderate to severe developmental delay, muscular dystrophy, or spinal cord injury."
"I'm older and have a chronic medical condition, which puts me at higher risk for getting seriously ill, or even dying from COVID-19. What can I do to reduce my risk of exposure to the virus?","Anyone 60 years or older is considered to be at higher risk for getting very sick from COVID-19. This is true whether or not you also have an underlying medical condition, although the sickest individuals and most of the deaths have been among people who were both older and had chronic medical conditions, such as heart disease, lung problems or diabetes.

The CDC suggests the following measures for those who are at higher risk:

Obtain several weeks of medications and supplies in case you need to stay home for prolonged periods of time.
Take everyday precautions to keep space between yourself and others.
When you go out in public, keep away from others who are sick, limit close contact, and wash your hands often.
Avoid crowds.
Avoid cruise travel and nonessential air travel.
During a COVID-19 outbreak in your community, stay home as much as possible to further reduce your risk of being exposed."
"I have a chronic medical condition that puts me at increased risk for severe illness from COVID-19, even though I'm only in my 30s. What can I do to reduce my risk?","You can take steps to lower your risk of getting infected in the first place:

As much as possible, limit contact with people outside your family.
Maintain enough distance (six feet or more) between yourself and anyone outside your family.
Wash your hands often with soap and warm water for 20 to 30 seconds.
As best you can, avoid touching your eyes, nose, or mouth.
Stay away from people who are sick.
During a COVID-19 outbreak in your community, stay home as much as possible to further reduce your risk of being exposed.
Clean and disinfect high-touch surfaces in your home, such as counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, and bedside tables, every day.
In addition, do your best to keep your condition well-controlled. That means following your doctor's recommendations including taking medications as directed. If possible, get a 90-day supply of your prescription medications and request that they be mailed to you so you don't have to go to the pharmacy to pick them up."
"I have asthma. If I get COVID-19, am I more likely to become seriously ill?","Yes, asthma may increase your risk of getting very sick from COVID-19.

However, you can take steps to lower your risk of getting infected in the first place. These include

social distancing
washing your hands often with soap and warm water for 20 to 30 seconds
not touching your eyes, nose or mouth
staying away from people who are sick.
In addition, you should continue to take your asthma medicines as prescribed to keep your asthma under control. If you do get sick, follow your asthma action plan and call your doctor."
I'm taking a medication that suppresses my immune system. Should I stop taking it so I have less chance of getting sick from the coronavirus?,"If you contract the virus, your response to it will depend on many factors, only one of which is taking medication that suppresses your immune system. In addition, stopping the medication on your own could cause your underlying condition to get worse. Most importantly, don't make this decision on your own. It's always best not to adjust the dose or stop taking a prescription medication without first talking to the doctor who prescribed the medication."
I heard that certain blood pressure medicines might worsen symptoms of COVID-19. Should I stop taking my medication now just in case I do get infected? Should I stop if I develop symptoms of COVID-19?,"You are referring to angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs), two types of medications used primarily to treat high blood pressure (hypertension) and heart disease. Doctors also prescribe these medicines for people who have protein in their urine, a common problem in people with diabetes.

At this time, the American Heart Association (AHA), the American College of Cardiology (ACC), and the Heart Failure Society of America (HFSA) strongly recommend that people taking these medications should continue to do so, even if they become infected.

Here's how this concern got started. Researchers doing animal studies on a different coronavirus (the SARS coronavirus from the early 2000s) found that certain sites on lung cells called ACE-2 receptors appeared to help the SARS virus enter the lungs and cause pneumonia. ACE inhibitor and ARB drugs raised ACE-2 receptor levels in the animals.

Could this mean people taking these drugs are more susceptible to COVID-19 infection and are more likely to get pneumonia?

The reality today:

Human studies have not confirmed the findings in animal studies.
Some studies suggest that ACE inhibitors and ARBs may reduce lung injury in people with other viral pneumonias. The same might be true of pneumonia caused by the COVID-19 virus.
Stopping your ACE inhibitor or ARB could actually put you at greater risk of complications from the infection, since it's likely that your blood pressure will rise and heart problems would get worse.
The bottom line: The AHA, ACC, and HFSA strongly recommend continuing to take ACE inhibitor or ARB medications, even if you get sick with COVID-19."
I live with my children and grandchildren. What can I do to reduce the risk of getting sick when caring for my grandchildren?,"In a situation where there is no choice — such as if the grandparent lives with the grandchildren — then the family should do everything they can to try to limit the risk of COVID-19. The grandchildren should be isolated as much as possible, as should the parents, so that the overall family risk is as low as possible. Everyone should wash their hands very frequently throughout the day, and surfaces should be wiped clean frequently. Physical contact should be limited to the absolutely necessary; as wonderful as it can be to snuggle with Grandma or Grandpa, now is not the time."
What are the symptoms of COVID-19?,"Some people infected with the virus have no symptoms. When the virus does cause symptoms, common ones include fever, body ache, dry cough, fatigue, chills, headache, sore throat, loss of appetite, and loss of smell. In some people, COVID-19 causes more severe symptoms like high fever, severe cough, and shortness of breath, which often indicates pneumonia.

People with COVID-19 are also experiencing neurological symptoms, gastrointestinal (GI) symptoms, or both. These may occur with or without respiratory symptoms.

For example, COVID-19 affects brain function in some people. Specific neurological symptoms seen in people with COVID-19 include loss of smell, inability to taste, muscle weakness, tingling or numbness in the hands and feet, dizziness, confusion, delirium, seizures, and stroke.

In addition, some people have gastrointestinal (GI) symptoms, such as loss of appetite, nausea, vomiting, diarrhea, and abdominal pain or discomfort associated with COVID-19. These symptoms might start before other symptoms such as fever, body ache, and cough. The virus that causes COVID-19 has also been detected in stool, which reinforces the importance of hand washing after every visit to the bathroom and regularly disinfecting bathroom fixtures."
What should I do if I think I or my child may have a COVID-19 infection?,"First call your doctor or pediatrician for advice.

If you do not have a doctor and you are concerned that you or your child may have COVID-19, contact your local board of health. They can direct you to the best place for evaluation and treatment in your area.

It's best to not seek medical care in an emergency department unless you have symptoms of severe illness. Severe symptoms include high or very low body temperature, shortness of breath, confusion, or feeling you might pass out. Call the emergency department ahead of time to let the staff know that you are coming, so they can be prepared for your arrival."
How do I know if I have COVID-19 or the regular flu?,"COVID-19 often causes symptoms similar to those a person with a bad cold or the flu would experience. And like the flu, the symptoms can progress and become life-threatening. Your doctor is more likely to suspect coronavirus if:

you have respiratory symptoms
and
you have been exposed to someone suspected of having COVID-19, or
there has been community spread of the virus that causes COVID-19 in your area."
How is someone tested for COVID-19?,"A specialized test must be done to confirm that a person has been infected with the virus that causes COVID-19. Most often a clinician takes a swab of your nose (or both your nose and throat). New methods of testing that can be done on site will become more available over the next few weeks. These new tests can provide results in as little as 15–45 minutes. Meanwhile, most tests will still be delivered to labs that have been approved to perform the test.

Some people are starting to have a blood test to look for antibodies to the COVID-19 virus. Because the blood test for antibodies doesn't become positive until after an infected person improves, it is not useful as a diagnostic test at this time. Scientists are using this blood antibody test to identify potential plasma donors. The antibodies can be purified from the plasma and may help some very sick people get better."
What are the differences between the nasal swab and saliva tests for COVID-19?,"Until recently, most tests for COVID-19 required a clinician to insert a long swab into the nose and sometimes down to the throat. In mid-April, the FDA granted emergency approval for a saliva-based test.

The saliva test is easier to perform — spitting into a cup versus submitting to a swab — and more comfortable. Because a person can independently spit into a cup, the saliva test does not require interaction with a healthcare worker. This cuts down on the need for masks, gowns, gloves, and other protective equipment, which has been in short supply.

Both the saliva and swab tests work by detecting genetic material from the coronavirus. Both tests are very specific, meaning that a positive test almost always means that the person is infected with the virus. However, both tests can be negative, even if a person is proven later to be infected (known as a false negative). This is especially true for people who carry the virus but have no symptoms.

Some early reports suggest that the saliva test may have fewer false negatives than the swab test. If verified, home testing could potentially quickly ramp up the widespread testing we desperately need."
How reliable is the test for COVID-19?,"In the US, the most common test for the COVID-19 virus looks for viral RNA in a sample taken with a swab from a person's nose or throat. Tests results may come back in as little as 15–45 minutes for some of the newer on-site tests; with other tests you may wait three to four days for results.

If a test result comes back positive, it is almost certain that the person is infected.

A negative test result is less definite. An infected person could get a so-called ""false negative"" test result if the swab missed the virus, for example, or because of an inadequacy of the test itself. We also don't yet know at what point during the course of illness a test becomes positive.

If you experience COVID-like symptoms and get a negative test result, there is no reason to repeat the test unless your symptoms get worse. If your symptoms do worsen, call your doctor or local or state healthcare department for guidance on further testing. You should also self-isolate at home. Wear a mask if you have one when interacting with members of your household. And practice social distancing."
What is serologic (antibody) testing for COVID-19? What can it be used for?,"A serologic test is a blood test that looks for antibodies created by your immune system. There are many reasons you might make antibodies, the most important of which is to help fight infections. The serologic test for COVID-19 specifically looks for antibodies against the COVID-19 virus.

Your body takes at least five to 10 days after you have acquired the infection to develop antibodies to this virus. For this reason, serologic tests are not sensitive enough to accurately diagnose an active COVID-19 infection, even in people with symptoms.

However, serologic tests can help identify anyone who has recovered from coronavirus. This may include people who were not initially identified as having COVID-19 because they had no symptoms, had mild symptoms, chose not to get tested, had a false-negative test, or could not get tested for any reason. Serologic tests will provide a more accurate picture of how many people have been infected with, and recovered from, coronavirus, as well as the true fatality rate.

Serologic tests may also provide information about whether people become immune to coronavirus once they've recovered and, if so, how long that immunity lasts. In time, these tests may be used to determine who can safely go back out into the community.

Scientists can also study coronavirus antibodies to learn which parts of the coronavirus the immune system responds to, in turn giving them clues about which part of the virus to target in vaccines they are developing.

Serological tests are starting to become available and are being developed by many private companies worldwide. However, the accuracy of these tests needs to be validated before widespread use in the US."
How soon after I'm infected with the new coronavirus will I start to be contagious?,"The time from exposure to symptom onset (known as the incubation period) is thought to be three to 14 days, though symptoms typically appear within four or five days after exposure.

We know that a person with COVID-19 may be contagious 48 to 72 hours before starting to experience symptoms. Emerging research suggests that people may actually be most likely to spread the virus to others during the 48 hours before they start to experience symptoms.

If true, this strengthens the case for face masks, physical distancing, and contact tracing, all of which can help reduce the risk that someone who is infected but not yet contagious may unknowingly infect others."
